Time,Acceleration,Velocity,Height,Mass,Thrust
0.010000,0.000000,0.000000,0.000000,1.056700,0.000000
0.020000,18.929138,0.091221,0.091221,1.056572,20.000000
0.030000,18.931429,0.182466,0.273687,1.056444,20.000000
0.040000,18.933720,0.273733,0.547420,1.056316,20.000000
0.050000,18.936013,0.365023,0.912443,1.056189,20.000000
0.060000,18.938305,0.456336,1.368779,1.056061,20.000000
0.070000,18.940598,0.547672,1.916451,1.055933,20.000000
0.080000,18.942892,0.639031,2.555482,1.055805,20.000000
0.090000,18.945186,0.730413,3.285895,1.055677,20.000000
0.100000,18.947481,0.821818,4.107712,1.055549,20.000000
0.110000,18.949776,0.913245,5.020958,1.055421,20.000000
0.120000,18.952072,1.004696,6.025654,1.055294,20.000000
0.130000,18.954369,1.096170,7.121824,1.055166,20.000000
0.140000,18.956666,1.187666,8.309490,1.055038,20.000000
0.150000,18.958963,1.279186,9.588676,1.054910,20.000000
0.160000,18.961261,1.370729,10.959405,1.054782,20.000000
0.170000,18.963560,1.462294,12.421699,1.054654,20.000000
0.180000,18.965859,1.553883,13.975582,1.054526,20.000000
0.190000,18.968159,1.645494,15.621077,1.054399,20.000000
0.200000,18.970460,1.737129,17.358206,1.054271,20.000000
0.210000,18.972761,1.828787,19.186992,1.054143,20.000000
0.220000,18.975062,1.920467,21.107460,1.054015,20.000000
0.230000,18.977364,2.012171,23.119631,1.053887,20.000000
0.240000,18.979667,2.103898,25.223528,1.053759,20.000000
0.250000,18.981970,2.195647,27.419176,1.053631,20.000000
0.260000,18.984274,2.287420,29.706596,1.053504,20.000000
0.270000,18.986578,2.379216,32.085812,1.053376,20.000000
0.280000,18.988883,2.471035,34.556846,1.053248,20.000000
0.290000,18.991188,2.562877,37.119723,1.053120,20.000000
0.300000,18.993494,2.654741,39.774464,1.052992,20.000000
0.310000,18.995801,2.746629,42.521094,1.052864,20.000000
0.320000,18.998108,2.838541,45.359634,1.052736,20.000000
0.330000,19.000415,2.930475,48.290109,1.052609,20.000000
0.340000,19.002723,3.022432,51.312541,1.052481,20.000000
0.350000,19.005032,3.114412,54.426953,1.052353,20.000000
0.360000,19.007342,3.206416,57.633369,1.052225,20.000000
0.370000,19.009651,3.298442,60.931811,1.052097,20.000000
0.380000,19.011962,3.390492,64.322303,1.051969,20.000000
0.390000,19.014273,3.482565,67.804867,1.051841,20.000000
0.400000,19.016584,3.574660,71.379528,1.051714,20.000000
0.410000,19.018897,3.666779,75.046307,1.051586,20.000000
0.420000,19.021209,3.758921,78.805229,1.051458,20.000000
0.430000,19.023523,3.851087,82.656315,1.051330,20.000000
0.440000,19.025836,3.943275,86.599590,1.051202,20.000000
0.450000,19.028151,4.035487,90.635077,1.051074,20.000000
0.460000,19.030466,4.127721,94.762798,1.050946,20.000000
0.470000,19.032781,4.219979,98.982777,1.050819,20.000000
0.480000,19.035097,4.312260,103.295037,1.050691,20.000000
0.490000,19.037414,4.404564,107.699601,1.050563,20.000000
0.500000,19.039731,4.496891,112.196493,1.050435,20.000000
0.510000,19.042049,4.589242,116.785735,1.050307,20.000000
0.520000,19.044367,4.681616,121.467350,1.050179,20.000000
0.530000,19.046686,4.774012,126.241363,1.050051,20.000000
0.540000,19.049006,4.866433,131.107795,1.049924,20.000000
0.550000,19.051326,4.958876,136.066671,1.049796,20.000000
0.560000,19.053646,5.051342,141.118013,1.049668,20.000000
0.570000,19.055967,5.143832,146.261845,1.049540,20.000000
0.580000,19.058289,5.236345,151.498190,1.049412,20.000000
0.590000,19.060611,5.328881,156.827071,1.049284,20.000000
0.600000,19.062934,5.421440,162.248511,1.049156,20.000000
0.610000,19.065258,5.514023,167.762534,1.049029,20.000000
0.620000,19.067582,5.606629,173.369163,1.048901,20.000000
0.630000,19.069906,5.699258,179.068421,1.048773,20.000000
0.640000,19.072231,5.791910,184.860331,1.048645,20.000000
0.650000,19.074557,5.884586,190.744916,1.048517,20.000000
0.660000,19.076883,5.977284,196.722201,1.048389,20.000000
0.670000,19.079210,6.070007,202.792207,1.048261,20.000000
0.680000,19.081537,6.162752,208.954959,1.048134,20.000000
0.690000,19.083865,6.255521,215.210480,1.048006,20.000000
0.700000,19.086194,6.348313,221.558792,1.047878,20.000000
0.710000,19.088523,6.441128,227.999920,1.047750,20.000000
0.720000,19.090853,6.533966,234.533886,1.047622,20.000000
0.730000,19.093183,6.626828,241.160714,1.047494,20.000000
0.740000,19.095514,6.719713,247.880427,1.047366,20.000000
0.750000,19.097845,6.812622,254.693049,1.047239,20.000000
0.760000,19.100177,6.905553,261.598603,1.047111,20.000000
0.770000,19.102510,6.998509,268.597111,1.046983,20.000000
0.780000,19.104843,7.091487,275.688598,1.046855,20.000000
0.790000,19.107176,7.184489,282.873087,1.046727,20.000000
0.800000,19.109510,7.277514,290.150601,1.046599,20.000000
0.810000,19.111845,7.370562,297.521163,1.046471,20.000000
0.820000,19.114181,7.463634,304.984797,1.046344,20.000000
0.830000,19.116517,7.556729,312.541526,1.046216,20.000000
0.840000,19.118853,7.649848,320.191374,1.046088,20.000000
0.850000,19.121190,7.742990,327.934364,1.045960,20.000000
0.860000,19.123528,7.836155,335.770519,1.045832,20.000000
0.870000,19.125866,7.929344,343.699862,1.045704,20.000000
0.880000,19.128205,8.022556,351.722418,1.045576,20.000000
0.890000,19.130544,8.115791,359.838209,1.045449,20.000000
0.900000,19.132884,8.209050,368.047259,1.045321,20.000000
0.910000,19.135225,8.302332,376.349591,1.045193,20.000000
0.920000,19.137566,8.395638,384.745229,1.045065,20.000000
0.930000,19.139907,8.488967,393.234196,1.044937,20.000000
0.940000,19.142249,8.582319,401.816516,1.044809,20.000000
0.950000,19.144592,8.675695,410.492211,1.044681,20.000000
0.960000,19.146936,8.769095,419.261306,1.044554,20.000000
0.970000,19.149280,8.862518,428.123823,1.044426,20.000000
0.980000,19.151624,8.955964,437.079787,1.044298,20.000000
0.990000,19.153969,9.049433,446.129220,1.044170,20.000000
1.000000,19.156315,9.142927,455.272147,1.044042,20.000000
1.010000,19.158661,9.236443,464.508590,1.043914,20.000000
1.020000,19.161008,9.329983,473.838573,1.043786,20.000000
1.030000,19.163355,9.423547,483.262120,1.043659,20.000000
1.040000,19.165703,9.517134,492.779254,1.043531,20.000000
1.050000,19.168052,9.610744,502.389998,1.043403,20.000000
1.060000,19.170401,9.704378,512.094377,1.043275,20.000000
1.070000,19.172751,9.798036,521.892413,1.043147,20.000000
1.080000,19.175101,9.891717,531.784130,1.043019,20.000000
1.090000,19.177452,9.985421,541.769551,1.042891,20.000000
1.100000,19.179803,10.079149,551.848701,1.042764,20.000000
1.110000,19.182155,10.172901,562.021602,1.042636,20.000000
1.120000,19.184508,10.266676,572.288278,1.042508,20.000000
1.130000,19.186861,10.360475,582.648752,1.042380,20.000000
1.140000,19.189215,10.454297,593.103049,1.042252,20.000000
1.150000,19.191569,10.548143,603.651192,1.042124,20.000000
1.160000,19.193924,10.642012,614.293203,1.041996,20.000000
1.170000,19.196279,10.735905,625.029108,1.041869,20.000000
1.180000,19.198635,10.829821,635.858929,1.041741,20.000000
1.190000,19.200992,10.923761,646.782690,1.041613,20.000000
1.200000,19.203349,11.017724,657.800414,1.041485,20.000000
1.210000,19.205707,11.111711,668.912125,1.041357,20.000000
1.220000,19.208065,11.205722,680.117847,1.041229,20.000000
1.230000,19.210424,11.299756,691.417604,1.041101,20.000000
1.240000,19.212784,11.393814,702.811418,1.040974,20.000000
1.250000,19.215144,11.487896,714.299313,1.040846,20.000000
1.260000,19.217504,11.582001,725.881314,1.040718,20.000000
1.270000,19.219866,11.676129,737.557443,1.040590,20.000000
1.280000,19.222227,11.770282,749.327725,1.040462,20.000000
1.290000,19.224590,11.864457,761.192182,1.040334,20.000000
1.300000,19.226953,11.958657,773.150839,1.040206,20.000000
1.310000,19.229316,12.052880,785.203719,1.040079,20.000000
1.320000,19.231681,12.147127,797.350846,1.039951,20.000000
1.330000,19.234045,12.241397,809.592243,1.039823,20.000000
1.340000,19.236411,12.335691,821.927935,1.039695,20.000000
1.350000,19.238777,12.430009,834.357944,1.039567,20.000000
1.360000,19.241143,12.524351,846.882295,1.039439,20.000000
1.370000,19.243510,12.618716,859.501011,1.039311,20.000000
1.380000,19.245878,12.713105,872.214115,1.039184,20.000000
1.390000,19.248246,12.807517,885.021632,1.039056,20.000000
1.400000,19.250615,12.901953,897.923585,1.038928,20.000000
1.410000,19.252984,12.996413,910.919998,1.038800,20.000000
1.420000,19.255354,13.090897,924.010895,1.038672,20.000000
1.430000,19.257725,13.185404,937.196299,1.038544,20.000000
1.440000,19.260096,13.279935,950.476234,1.038416,20.000000
1.450000,19.262468,13.374489,963.850723,1.038289,20.000000
1.460000,19.264840,13.469068,977.319791,1.038161,20.000000
