Time,Acceleration,Velocity,Height,Mass,Thrust
0.010000,0.000000,0.000000,0.000000,0.694000,0.000000
0.020000,12.629786,0.028228,0.028228,0.692807,8.750000
0.030000,12.651578,0.056674,0.084902,0.691613,8.750000
0.040000,12.673445,0.085338,0.170240,0.690420,8.750000
0.050000,12.695388,0.114222,0.284462,0.689227,8.750000
0.060000,12.717407,0.143326,0.427788,0.688033,8.750000
0.070000,12.739503,0.172651,0.600439,0.686840,8.750000
0.080000,12.761675,0.202198,0.802637,0.685647,8.750000
0.090000,12.783925,0.231967,1.034604,0.684453,8.750000
0.100000,12.806252,0.261960,1.296563,0.683260,8.750000
0.110000,12.828658,0.292176,1.588739,0.682067,8.750000
0.120000,12.851142,0.322618,1.911357,0.680873,8.750000
0.130000,12.873705,0.353285,2.264642,0.679680,8.750000
0.140000,12.896348,0.384178,2.648820,0.678487,8.750000
0.150000,12.919070,0.415299,3.064119,0.677293,8.750000
0.160000,12.941873,0.446648,3.510766,0.676100,8.750000
0.170000,12.964756,0.478225,3.988991,0.674907,8.750000
0.180000,12.987720,0.510032,4.499023,0.673713,8.750000
0.190000,13.010765,0.542070,5.041093,0.672520,8.750000
0.200000,13.033893,0.574339,5.615432,0.671327,8.750000
0.210000,13.057103,0.606840,6.222272,0.670133,8.750000
0.220000,13.080396,0.639574,6.861846,0.668940,8.750000
0.230000,13.103772,0.672542,7.534388,0.667747,8.750000
0.240000,13.127232,0.705744,8.240132,0.666553,8.750000
0.250000,13.150776,0.739182,8.979313,0.665360,8.750000
0.260000,13.174404,0.772856,9.752169,0.664167,8.750000
0.270000,13.198118,0.806767,10.558936,0.662973,8.750000
0.280000,13.221917,0.840916,11.399852,0.661780,8.750000
0.290000,13.245802,0.875304,12.275156,0.660587,8.750000
0.300000,13.269773,0.909932,13.185088,0.659393,8.750000
0.310000,13.293832,0.944800,14.129888,0.658200,8.750000
0.320000,13.317977,0.979910,15.109798,0.657007,8.750000
0.330000,13.342211,1.015262,16.125060,0.655813,8.750000
0.340000,13.366533,1.050857,17.175917,0.654620,8.750000
0.350000,13.390944,1.086697,18.262614,0.653427,8.750000
0.360000,13.415444,1.122781,19.385395,0.652233,8.750000
0.370000,13.440034,1.159112,20.544507,0.651040,8.750000
0.380000,13.464715,1.195689,21.740195,0.649847,8.750000
0.390000,13.489486,1.232514,22.972709,0.648653,8.750000
0.400000,13.514348,1.269587,24.242296,0.647460,8.750000
0.410000,13.539303,1.306910,25.549206,0.646267,8.750000
0.420000,13.564349,1.344484,26.893690,0.645073,8.750000
0.430000,13.589489,1.382308,28.275998,0.643880,8.750000
0.440000,13.614722,1.420386,29.696384,0.642687,8.750000
0.450000,13.640048,1.458716,31.155100,0.641493,8.750000
0.460000,13.665469,1.497301,32.652401,0.640300,8.750000
0.470000,13.690985,1.536141,34.188542,0.639107,8.750000
0.480000,13.716597,1.575237,35.763778,0.637913,8.750000
0.490000,13.742304,1.614590,37.378368,0.636720,8.750000
0.500000,13.768108,1.654201,39.032569,0.635527,8.750000
0.510000,13.794009,1.694071,40.726640,0.634333,8.750000
0.520000,13.820008,1.734201,42.460841,0.633140,8.750000
0.530000,13.846105,1.774592,44.235433,0.631947,8.750000
0.540000,13.872301,1.815245,46.050678,0.630753,8.750000
0.550000,13.898596,1.856161,47.906839,0.629560,8.750000
0.560000,13.924991,1.897341,49.804180,0.628367,8.750000
0.570000,13.951486,1.938786,51.742965,0.627173,8.750000
0.580000,13.978082,1.980497,53.723462,0.625980,8.750000
0.590000,14.004780,2.022474,55.745936,0.624787,8.750000
0.600000,14.031580,2.064720,57.810657,0.623593,8.750000
0.610000,14.058483,2.107235,59.917892,0.622400,8.750000
0.620000,14.085490,2.150020,62.067912,0.621207,8.750000
0.630000,14.112600,2.193076,64.260988,0.620013,8.750000
0.640000,14.139814,2.236404,66.497392,0.618820,8.750000
0.650000,14.167134,2.280005,68.777397,0.617627,8.750000
0.660000,14.194560,2.323881,71.101278,0.616433,8.750000
0.670000,14.222092,2.368032,73.469310,0.615240,8.750000
