Time,Acceleration,Velocity,Height,Mass,Thrust
0.010000,0.000000,0.000000,0.000000,0.178000,0.000000
0.020000,51.467142,0.416601,0.004166,0.177783,9.150000
0.030000,51.529942,0.833831,0.012504,0.177567,9.150000
0.040000,51.592895,1.251690,0.025021,0.177350,9.150000
0.050000,51.656003,1.670180,0.041723,0.177133,9.150000
0.060000,51.719265,2.089302,0.062616,0.176917,9.150000
0.070000,51.782683,2.509059,0.087707,0.176700,9.150000
0.080000,51.846256,2.929452,0.117001,0.176483,9.150000
0.090000,51.909985,3.350482,0.150506,0.176267,9.150000
0.100000,51.973871,3.772150,0.188227,0.176050,9.150000
0.110000,52.037915,4.194460,0.230172,0.175833,9.150000
0.120000,52.102116,4.617411,0.276346,0.175617,9.150000
0.130000,52.166477,5.041005,0.326756,0.175400,9.150000
0.140000,52.230996,5.465245,0.381409,0.175183,9.150000
0.150000,52.295675,5.890132,0.440310,0.174967,9.150000
0.160000,52.360515,6.315667,0.503467,0.174750,9.150000
0.170000,52.425516,6.741853,0.570885,0.174533,9.150000
0.180000,52.490678,7.168689,0.642572,0.174317,9.150000
0.190000,52.556002,7.596179,0.718534,0.174100,9.150000
0.200000,52.621490,8.024324,0.798777,0.173883,9.150000
0.210000,52.687140,8.453126,0.883308,0.173667,9.150000
0.220000,52.752955,8.882585,0.972134,0.173450,9.150000
0.230000,52.818934,9.312704,1.065261,0.173233,9.150000
0.240000,52.885079,9.743485,1.162696,0.173017,9.150000
0.250000,52.951389,10.174929,1.264445,0.172800,9.150000
0.260000,53.017866,10.607038,1.370516,0.172583,9.150000
0.270000,53.084510,11.039813,1.480914,0.172367,9.150000
0.280000,53.151322,11.473256,1.595647,0.172150,9.150000
0.290000,53.218302,11.907369,1.714720,0.171933,9.150000
0.300000,53.285451,12.342154,1.838142,0.171717,9.150000
0.310000,53.352770,12.777611,1.965918,0.171500,9.150000
0.320000,53.420259,13.213744,2.098055,0.171283,9.150000
0.330000,53.487919,13.650553,2.234561,0.171067,9.150000
0.340000,53.555751,14.088041,2.375441,0.170850,9.150000
0.350000,53.623755,14.526208,2.520703,0.170633,9.150000
0.360000,53.691932,14.965058,2.670354,0.170417,9.150000
0.370000,53.760282,15.404590,2.824400,0.170200,9.150000
0.380000,53.828807,15.844808,2.982848,0.169983,9.150000
0.390000,53.897506,16.285713,3.145705,0.169767,9.150000
0.400000,53.966382,16.727307,3.312978,0.169550,9.150000
0.410000,54.035433,17.169592,3.484674,0.169333,9.150000
0.420000,54.104661,17.612568,3.660800,0.169117,9.150000
0.430000,54.174067,18.056239,3.841362,0.168900,9.150000
0.440000,54.243652,18.500605,4.026368,0.168683,9.150000
0.450000,54.313415,18.945670,4.215825,0.168467,9.150000
0.460000,54.383358,19.391433,4.409739,0.168250,9.150000
0.470000,54.453481,19.837898,4.608118,0.168033,9.150000
0.480000,54.523786,20.285066,4.810969,0.167817,9.150000
0.490000,54.594272,20.732939,5.018298,0.167600,9.150000
0.500000,54.664941,21.181518,5.230113,0.167383,9.150000
0.510000,54.735793,21.630806,5.446421,0.167167,9.150000
0.520000,54.806828,22.080804,5.667229,0.166950,9.150000
0.530000,54.878049,22.531515,5.892545,0.166733,9.150000
0.540000,54.949455,22.982939,6.122374,0.166517,9.150000
0.550000,55.021046,23.435080,6.356725,0.166300,9.150000
0.560000,55.092825,23.887938,6.595604,0.166083,9.150000
0.570000,55.164791,24.341516,6.839019,0.165867,9.150000
